ID do ticket,Atribuir a um grupo,Data de criação,snapshot_date
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-130401,COP-SAP MOBILE,16/09/2025,2025-10-08
300-130449,COP-SAP SD,17/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-130626,COP-SAP CO-3N,19/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-130733,COP-SAP MOBILE,22/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
100-98982,COP-OneID-Suporte,23/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-131007,COP-SAP-LES-TRIBUTARIO,25/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
100-99483,COP-SAP MOBILE,29/09/2025,2025-10-08
100-99527,COP-ORIENTAÇÃO-GRC,30/09/2025,2025-10-08
100-99542,COP-ACESSO-SAP,30/09/2025,2025-10-08
100-99545,COP-OneID-Suporte,30/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-131420,COP-SAP SD,01/10/2025,2025-10-08
300-131433,COP-SENIOR,01/10/2025,2025-10-08
,,,2025-10-08
300-131471,COP-SAP-SD-TRIBUTARIO,01/10/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
100-99763,COP-GESTAO,02/10/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-131666,COP-GESTAO,04/10/2025,2025-10-08
,,,2025-10-08
100-99601,Service Desk (L1),30/09/2025,2025-10-08
300-131510,COP-TELECOM,02/10/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
100-94295,COP-SAP LES-3N,06/08/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-127944,COP-SAP LES,14/08/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
100-96977,COP-SUPORTE-XML-TI,03/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-129692,COP-SAP LES,05/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-130419,COP-SAP LES,16/09/2025,2025-10-08
,,,2025-10-08
100-98814,COP-GMI-SMIL-SUSTENTAÇÃO,22/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-130821,COP-SAP MOBILE,23/09/2025,2025-10-08
,,,2025-10-08
300-130842,APOIO-COP-UNIDADES,23/09/2025,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
,,,2025-10-08
300-130963,COP-SAP LES,25/09/2025,2025-10-08
100-99197,APOIO-COP-UNIDADES,25/09/2025,2025-10-08
100-99253,COP-APLIC-NOTES,26/09/2025,2025-10-08
,,,2025-10-08
300-131055,COP-SAP LES,26/09/2025,2025-10-08
,,,2025-10-08
100-99394,COP-SAP LES,29/09/2025,2025-10-08
300-131187,COP-SAP LES,29/09/2025,2025-10-08
300-131223,COP-SAP MOBILE,29/09/2025,2025-10-08
,,,2025-10-08
